run_id,bulk_doping,source_doping,drain_doping,LDD_doping
B5e15SD1e19LDD1e17,5.0e15,1.0e19,1.0e19,1.0e17
B5e15SD1e19LDD5e17,5.0e15,1.0e19,1.0e19,5.0e17
B5e15SD5e19LDD1e17,5.0e15,5.0e19,5.0e19,1.0e17
B5e15SD5e19LDD5e17,5.0e15,5.0e19,5.0e19,5.0e17
B5e15SD1e20LDD1e17,5.0e15,1.0e20,1.0e20,1.0e17
B5e15SD1e20LDD5e17,5.0e15,1.0e20,1.0e20,5.0e17
B5e15SD1e20LDD1e18,5.0e15,1.0e20,1.0e20,1.0e18
B5e15SD5e20LDD1e17,5.0e15,5.0e20,5.0e20,1.0e17
B5e15SD5e20LDD5e17,5.0e15,5.0e20,5.0e20,5.0e17
B5e15SD5e20LDD1e18,5.0e15,5.0e20,5.0e20,1.0e18
B5e15SD5e20LDD5e18,5.0e15,5.0e20,5.0e20,5.0e18
B1e16SD1e19LDD5e17,1.0e16,1.0e19,1.0e19,5.0e17
B1e16SD5e19LDD5e17,1.0e16,5.0e19,5.0e19,5.0e17
B1e16SD1e20LDD5e17,1.0e16,1.0e20,1.0e20,5.0e17
B1e16SD1e20LDD1e18,1.0e16,1.0e20,1.0e20,1.0e18
B1e16SD5e20LDD5e17,1.0e16,5.0e20,5.0e20,5.0e17
B1e16SD5e20LDD1e18,1.0e16,5.0e20,5.0e20,1.0e18
B1e16SD5e20LDD5e18,1.0e16,5.0e20,5.0e20,5.0e18
B5e16SD1e20LDD1e18,5.0e16,1.0e20,1.0e20,1.0e18
B5e16SD5e20LDD1e18,5.0e16,5.0e20,5.0e20,1.0e18
B5e16SD5e20LDD5e18,5.0e16,5.0e20,5.0e20,5.0e18
