run_id,gate_width,oxide_thickness,LDD_thickness
L100T5,1.0e-5,5.0e-7,2.5e-6
L100T7,1.0e-5,7.0e-7,2.5e-6
L100T10,1.0e-5,1.0e-6,2.5e-6
L100T12,1.0e-5,1.2e-6,2.5e-6
L100T15,1.0e-5,1.5e-6,2.5e-6
L100T20,1.0e-5,2.0e-6,2.5e-6
L100T27,1.0e-5,2.7e-6,2.5e-6
L100T35,1.0e-5,3.5e-6,2.5e-6
L100T50,1.0e-5,5.0e-6,2.5e-6
L120T5,1.2e-5,5.0e-7,2.5e-6
L120T7,1.2e-5,7.0e-7,2.5e-6
L120T10,1.2e-5,1.0e-6,2.5e-6
L120T12,1.2e-5,1.2e-6,2.5e-6
L120T15,1.2e-5,1.5e-6,2.5e-6
L120T20,1.2e-5,2.0e-6,2.5e-6
L120T27,1.2e-5,2.7e-6,2.5e-6
L120T35,1.2e-5,3.5e-6,2.5e-6
L120T50,1.2e-5,5.0e-6,2.5e-6
L150T5,1.5e-5,5.0e-7,2.5e-6
L150T7,1.5e-5,7.0e-7,2.5e-6
L150T10,1.5e-5,1.0e-6,2.5e-6
L150T12,1.5e-5,1.2e-6,2.5e-6
L150T15,1.5e-5,1.5e-6,2.5e-6
L150T20,1.5e-5,2.0e-6,2.5e-6
L150T27,1.5e-5,2.7e-6,2.5e-6
L150T35,1.5e-5,3.5e-6,2.5e-6
L150T50,1.5e-5,5.0e-6,2.5e-6
L170T5,1.7e-5,5.0e-7,2.5e-6
L170T7,1.7e-5,7.0e-7,2.5e-6
L170T12,1.7e-5,1.2e-6,2.5e-6
L170T15,1.7e-5,1.5e-6,2.5e-6
L170T20,1.7e-5,2.0e-6,2.5e-6
L170T27,1.7e-5,2.7e-6,2.5e-6
L170T35,1.7e-5,3.5e-6,2.5e-6
L170T50,1.7e-5,5.0e-6,2.5e-6
L200T5,2.0e-5,5.0e-7,2.5e-6
L200T7,2.0e-5,7.0e-7,2.5e-6
L200T10,2.0e-5,1.0e-6,2.5e-6
L200T12,2.0e-5,1.2e-6,2.5e-6
L200T15,2.0e-5,1.5e-6,2.5e-6
L200T27,2.0e-5,2.7e-6,2.5e-6
L200T35,2.0e-5,3.5e-6,2.5e-6
L200T50,2.0e-5,5.0e-6,2.5e-6
L250T5,2.5e-5,5.0e-7,2.5e-6
L250T7,2.5e-5,7.0e-7,2.5e-6
L250T10,2.5e-5,1.0e-6,2.5e-6
L250T12,2.5e-5,1.2e-6,2.5e-6
L250T15,2.5e-5,1.5e-6,2.5e-6
L250T20,2.5e-5,2.0e-6,2.5e-6
L250T27,2.5e-5,2.7e-6,2.5e-6
L250T35,2.5e-5,3.5e-6,2.5e-6
L250T50,2.5e-5,5.0e-6,2.5e-6
L300T5,3.0e-5,5.0e-7,2.5e-6
L300T7,3.0e-5,7.0e-7,2.5e-6
L300T10,3.0e-5,1.0e-6,2.5e-6
L300T12,3.0e-5,1.2e-6,2.5e-6
L300T15,3.0e-5,1.5e-6,2.5e-6
L300T20,3.0e-5,2.0e-6,2.5e-6
L300T27,3.0e-5,2.7e-6,2.5e-6
L300T35,3.0e-5,3.5e-6,2.5e-6
L300T50,3.0e-5,5.0e-6,2.5e-6
L400T5,4.0e-5,5.0e-7,2.5e-6
L400T7,4.0e-5,7.0e-7,2.5e-6
L400T10,4.0e-5,1.0e-6,2.5e-6
L400T12,4.0e-5,1.2e-6,2.5e-6
L400T15,4.0e-5,1.5e-6,2.5e-6
L400T20,4.0e-5,2.0e-6,2.5e-6
L400T27,4.0e-5,2.7e-6,2.5e-6
L400T35,4.0e-5,3.5e-6,2.5e-6
L400T50,4.0e-5,5.0e-6,2.5e-6
L500T10,5.0e-5,1.0e-6,2.5e-6
L500T20,5.0e-5,2.0e-6,2.5e-6
L500T35,5.0e-5,3.5e-6,2.5e-6
L700T5,7.0e-5,5.0e-7,2.5e-6
L700T7,7.0e-5,7.0e-7,2.5e-6
L700T10,7.0e-5,1.0e-6,2.5e-6
L700T12,7.0e-5,1.2e-6,2.5e-6
L700T15,7.0e-5,1.5e-6,2.5e-6
L700T20,7.0e-5,2.0e-6,2.5e-6
L700T27,7.0e-5,2.7e-6,2.5e-6
L700T35,7.0e-5,3.5e-6,2.5e-6
L700T50,7.0e-5,5.0e-6,2.5e-6
L1000T5,1.0e-4,5.0e-7,2.5e-6
L1000T7,1.0e-4,7.0e-7,2.5e-6
L1000T10,1.0e-4,1.0e-6,2.5e-6
L1000T12,1.0e-4,1.2e-6,2.5e-6
L1000T15,1.0e-4,1.5e-6,2.5e-6
L1000T20,1.0e-4,2.0e-6,2.5e-6
L1000T27,1.0e-4,2.7e-6,2.5e-6
L1000T35,1.0e-4,3.5e-6,2.5e-6
L1000T50,1.0e-4,5.0e-6,2.5e-6
L1300T5,1.3e-4,5.0e-7,2.5e-6
L1300T7,1.3e-4,7.0e-7,2.5e-6
L1300T10,1.3e-4,1.0e-6,2.5e-6
L1300T15,1.3e-4,1.5e-6,2.5e-6
L1300T20,1.3e-4,2.0e-6,2.5e-6
L1300T27,1.3e-4,2.7e-6,2.5e-6
L1300T35,1.3e-4,3.5e-6,2.5e-6
L1300T50,1.3e-4,5.0e-6,2.5e-6
L1600T5,1.6e-4,5.0e-7,2.5e-6
