structure_id,doping_run_id,gate_width,oxide_thickness,bulk_doping,source_doping,drain_doping,status,return_code,elapsed_sec,ivpoint_count,idvd_csv,idvg_csv,idvd_points,idvg_points,stdout_log,stderr_log,work_dir,final_dat
L200T10,B1e16SD1e19,2.0e-5,1.0e-6,1.0e16,1.0e19,1.0e19,ok,0,116.665,303,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L200T10B1e16SD1e19_IdVd.csv,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L200T10B1e16SD1e19_IdVg.csv,101,202,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L200T10\logs\B1e16SD1e19.stdout.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L200T10\logs\B1e16SD1e19.stderr.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\_tmp_work\L200T10\B1e16SD1e19,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\final_fields\L200T10B1e16SD1e19_final.dat
L200T10,B1e16SD5e19,2.0e-5,1.0e-6,1.0e16,5.0e19,5.0e19,ok,0,132.934,303,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L200T10B1e16SD5e19_IdVd.csv,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L200T10B1e16SD5e19_IdVg.csv,101,202,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L200T10\logs\B1e16SD5e19.stdout.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L200T10\logs\B1e16SD5e19.stderr.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\_tmp_work\L200T10\B1e16SD5e19,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\final_fields\L200T10B1e16SD5e19_final.dat
L200T10,B1e16SD1e20,2.0e-5,1.0e-6,1.0e16,1.0e20,1.0e20,ok,0,125.231,303,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L200T10B1e16SD1e20_IdVd.csv,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L200T10B1e16SD1e20_IdVg.csv,101,202,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L200T10\logs\B1e16SD1e20.stdout.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L200T10\logs\B1e16SD1e20.stderr.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\_tmp_work\L200T10\B1e16SD1e20,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\final_fields\L200T10B1e16SD1e20_final.dat
L200T10,B5e16SD1e19,2.0e-5,1.0e-6,5.0e16,1.0e19,1.0e19,failed,1,37.222,101,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L200T10B5e16SD1e19_IdVd.csv,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L200T10B5e16SD1e19_IdVg.csv,101,0,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L200T10\logs\B5e16SD1e19.stdout.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L200T10\logs\B5e16SD1e19.stderr.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\_tmp_work\L200T10\B5e16SD1e19,.
L200T10,B5e16SD5e19,2.0e-5,1.0e-6,5.0e16,5.0e19,5.0e19,failed,1,37.193,101,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L200T10B5e16SD5e19_IdVd.csv,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L200T10B5e16SD5e19_IdVg.csv,101,0,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L200T10\logs\B5e16SD5e19.stdout.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L200T10\logs\B5e16SD5e19.stderr.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\_tmp_work\L200T10\B5e16SD5e19,.
L200T10,B5e16SD1e20,2.0e-5,1.0e-6,5.0e16,1.0e20,1.0e20,failed,1,37.581,101,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L200T10B5e16SD1e20_IdVd.csv,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L200T10B5e16SD1e20_IdVg.csv,101,0,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L200T10\logs\B5e16SD1e20.stdout.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L200T10\logs\B5e16SD1e20.stderr.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\_tmp_work\L200T10\B5e16SD1e20,.
L200T10,B1e17SD1e19,2.0e-5,1.0e-6,1.0e17,1.0e19,1.0e19,failed,1,37.841,101,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L200T10B1e17SD1e19_IdVd.csv,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L200T10B1e17SD1e19_IdVg.csv,101,0,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L200T10\logs\B1e17SD1e19.stdout.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L200T10\logs\B1e17SD1e19.stderr.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\_tmp_work\L200T10\B1e17SD1e19,.
L200T10,B1e17SD5e19,2.0e-5,1.0e-6,1.0e17,5.0e19,5.0e19,failed,1,39.680,101,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L200T10B1e17SD5e19_IdVd.csv,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L200T10B1e17SD5e19_IdVg.csv,101,0,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L200T10\logs\B1e17SD5e19.stdout.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L200T10\logs\B1e17SD5e19.stderr.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\_tmp_work\L200T10\B1e17SD5e19,.
L200T10,B1e17SD1e20,2.0e-5,1.0e-6,1.0e17,1.0e20,1.0e20,failed,1,37.377,101,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L200T10B1e17SD1e20_IdVd.csv,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L200T10B1e17SD1e20_IdVg.csv,101,0,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L200T10\logs\B1e17SD1e20.stdout.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L200T10\logs\B1e17SD1e20.stderr.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\_tmp_work\L200T10\B1e17SD1e20,.
L200T20,B1e16SD1e19,2.0e-5,2.0e-6,1.0e16,1.0e19,1.0e19,ok,0,109.592,303,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L200T20B1e16SD1e19_IdVd.csv,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L200T20B1e16SD1e19_IdVg.csv,101,202,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L200T20\logs\B1e16SD1e19.stdout.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L200T20\logs\B1e16SD1e19.stderr.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\_tmp_work\L200T20\B1e16SD1e19,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\final_fields\L200T20B1e16SD1e19_final.dat
L200T20,B1e16SD5e19,2.0e-5,2.0e-6,1.0e16,5.0e19,5.0e19,ok,0,115.145,303,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L200T20B1e16SD5e19_IdVd.csv,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L200T20B1e16SD5e19_IdVg.csv,101,202,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L200T20\logs\B1e16SD5e19.stdout.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L200T20\logs\B1e16SD5e19.stderr.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\_tmp_work\L200T20\B1e16SD5e19,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\final_fields\L200T20B1e16SD5e19_final.dat
L200T20,B1e16SD1e20,2.0e-5,2.0e-6,1.0e16,1.0e20,1.0e20,ok,0,127.095,303,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L200T20B1e16SD1e20_IdVd.csv,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\L200T20B1e16SD1e20_IdVg.csv,101,202,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L200T20\logs\B1e16SD1e20.stdout.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\L200T20\logs\B1e16SD1e20.stderr.log,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\runs\_tmp_work\L200T20\B1e16SD1e20,C:\Users\T590\devsim_project\inverse-device-modeling\tcad\para_sweep\dataset\final_fields\L200T20B1e16SD1e20_final.dat
